Telemetry(timestamp='28.05.2023 11:38:49.151033', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:49.152439', value='3.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:49.379477', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:49.650291', value='1025092.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:49.650577', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:49.650755', value='1.980198', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:49.772626', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:50.151266', value='2.955665', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:50.151458', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:50.194606', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:50.649881', value='1025092.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:50.652097', value='1.980198', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:50.652186', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:50.813724', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:51.150328', value='1.990050', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:51.151399', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:51.225952', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:51.650767', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:51.650812', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:51.651530', value='0.000000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:51.651556', value='1025092.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:51.816421', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:51.839442', value='0.030000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:52.151918', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:52.152020', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:52.177574', value='8.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:52.650381', value='4.020101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:52.650753', value='1025092.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:52.652723', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:52.857836', value='8.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:53.150865', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:53.152140', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:53.369089', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:53.649509', value='1027080.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:53.650012', value='2.551020', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:53.652438', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:53.894345', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:54.150433', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:54.151082', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:54.292889', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:54.650177', value='1028340.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:54.650182', value='23.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:54.651250', value='4.545455', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:54.878807', value='623.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:55.150814', value='4.972376', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:55.151432', value='68.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:55.325076', value='2692.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:55.649852', value='1031356.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:55.650506', value='4.812834', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:55.651650', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:55.843832', value='3715.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:56.150909', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:56.151042', value='5.913978', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:56.347302', value='3618.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:56.649979', value='0.000000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:56.649982', value='0.030000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:56.651407', value='5.405405', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:56.651760', value='1035388.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:56.651946', value='94.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:56.865074', value='3976.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:57.150761', value='8.900524', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:57.152024', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:57.338861', value='4003.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:57.650440', value='1044176.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:57.651464', value='8.648649', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:57.651837', value='99.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:57.880662', value='3594.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:58.151866', value='101.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:58.151998', value='8.947368', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:58.283851', value='3460.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:58.650327', value='10.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:58.651881', value='1044176.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:58.652513', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:58.811729', value='3776.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:59.150674', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:59.152697', value='7.446809', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:59.311189', value='3801.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:59.650307', value='1055256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:59.651551', value='6.842105', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:38:59.652834', value='83.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:38:59.832117', value='3739.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:00.151648', value='81.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:00.151744', value='3.296703', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:00.327647', value='3765.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:00.649943', value='2.747253', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:00.654110', value='1055256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:00.654316', value='84.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:00.863736', value='3824.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:01.150532', value='6.010929', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:01.150602', value='84.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:01.366866', value='3861.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:01.649897', value='0.000000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:01.649901', value='0.030000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:01.650211', value='1055256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:01.650319', value='5.913978', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:01.651868', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:01.875007', value='3949.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:02.150451', value='4.347826', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:02.150792', value='85.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:02.394511', value='3891.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:02.650272', value='9.289617', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:02.650928', value='1055256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:02.651954', value='83.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:02.822209', value='3800.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:03.150729', value='6.951872', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:03.150837', value='84.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:03.307005', value='3859.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:03.650609', value='1055256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:03.650761', value='6.951872', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:03.651538', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:03.817001', value='3971.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:04.150635', value='8.947368', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:04.150773', value='85.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:04.325888', value='4012.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:04.650357', value='4.918033', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:04.650360', value='1088772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:04.652149', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:04.857784', value='4123.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:05.151476', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:05.151610', value='4.918033', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:05.347277', value='4157.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:05.650445', value='4.371585', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:05.650953', value='1088772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:05.651845', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:05.874100', value='4094.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:06.150503', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:06.152452', value='7.936508', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:06.368285', value='4137.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:06.649607', value='0.000000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:06.649928', value='1088772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:06.651359', value='5.405405', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:06.652213', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:06.761095', value='0.030000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:06.800022', value='4195.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:07.150447', value='6.451613', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:07.151831', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:07.303335', value='4142.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:07.650913', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:07.651286', value='1088772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:07.651485', value='9.340659', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:07.917479', value='4198.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:08.151875', value='6.989247', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:08.151887', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:08.231704', value='4132.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:08.650440', value='9.677419', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:08.650815', value='1088772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:08.651897', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:08.953369', value='3935.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:09.150564', value='83.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:09.151004', value='6.806283', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:09.163332', value='3956.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:09.650971', value='1088772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:09.651078', value='6.521739', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:09.652032', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:09.975213', value='4114.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:10.151503', value='7.526882', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:10.151926', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:10.177671', value='4189.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:10.650658', value='1088772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:10.650727', value='5.913978', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:10.651246', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:10.888139', value='4105.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:11.151520', value='4.419890', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:11.151627', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:11.284159', value='3988.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:11.649856', value='0.000000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:11.649861', value='0.030000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:11.650216', value='1088764.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:11.650343', value='5.464481', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:11.650701', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:11.800369', value='4047.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:12.150350', value='6.521739', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:12.150627', value='91.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:12.321517', value='4205.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:12.650241', value='11.702128', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:12.650290', value='1154032.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:12.651438', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:12.833867', value='4136.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:13.150583', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:13.151181', value='7.027027', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:13.332428', value='4097.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:13.650037', value='1154032.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:13.650707', value='6.914894', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:13.652377', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:13.860856', value='4157.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:14.150070', value='6.451613', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:14.151361', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:14.368313', value='4084.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:14.650201', value='1154284.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:14.650645', value='7.446809', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:14.651053', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:14.918319', value='4029.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:15.151356', value='5.851064', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:15.151388', value='85.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:15.309775', value='4023.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:15.650239', value='1154272.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:15.651092', value='5.913978', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:15.651552', value='83.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:15.802546', value='3905.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:16.150867', value='85.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:16.151004', value='4.918033', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:16.308037', value='3959.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:16.650413', value='0.000000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:16.650624', value='1154272.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:16.651214', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:16.651521', value='8.510638', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:16.795342', value='0.030000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:16.818189', value='4169.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:17.151605', value='5.978261', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:17.151985', value='93.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:17.341404', value='4302.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:17.649985', value='1154272.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:17.650144', value='7.692308', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 11:39:17.652415', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:17.851486', value='4177.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:18.150742', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 11:39:18.151320', value='3.846154', node='ubuntu', metric='cpu', subsystem=None)
