Telemetry(timestamp='04.06.2023 02:51:12.756933', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:12.757180', value='5.025126', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:12.894910', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:13.257241', value='1194580.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:13.257383', value='0.507614', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:13.258103', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:13.420508', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:13.758616', value='34.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:13.759000', value='10.309278', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:13.917617', value='1017.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:14.256229', value='20.833333', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:14.257266', value='1199088.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:14.258523', value='70.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:14.486089', value='2169.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:14.757057', value='46.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:14.757168', value='19.791667', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:14.953499', value='1156.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:15.256101', value='0.560000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:15.256413', value='1196304.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:15.256538', value='0.510204', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:15.257182', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:15.440863', value='0.240000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:15.459731', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:15.756613', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:15.757335', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:15.847107', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:16.257014', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:16.257257', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:16.257807', value='1196304.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:16.482445', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:16.756937', value='19.072165', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:16.758176', value='43.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:16.889593', value='1328.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:17.256221', value='29.533679', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:17.256619', value='1190944.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:17.258308', value='62.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:17.312066', value='2169.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:17.756477', value='29.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:17.756866', value='10.204082', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:17.902276', value='857.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:18.256838', value='1195200.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:18.256939', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:18.257262', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:18.428360', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:18.756949', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='04.06.2023 02:51:18.758461', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:18.845727', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='04.06.2023 02:51:19.256260', value='5.555556', node='ubuntu', metric='cpu', subsystem=None)
