Telemetry(timestamp='03.06.2023 12:20:59.114011', value='1038628.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:20:59.114825', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:20:59.115197', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:20:59.268943', value='7.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:20:59.614536', value='3.015075', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:20:59.614627', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:20:59.781535', value='7.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:00.113647', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:00.113693', value='1038624.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:00.115659', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:00.219556', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:00.613786', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:00.613727', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:00.618394', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:01.112960', value='0.120000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:01.112964', value='0.100000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:01.113138', value='1038624.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:01.114514', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:01.114550', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:01.193551', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:01.613544', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:01.614787', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:01.626583', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:02.115546', value='3.045685', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:02.115575', value='11.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:02.117280', value='1038624.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:02.230051', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:02.613853', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:02.613856', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:02.616046', value='3.553299', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:03.113456', value='1038624.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:03.114025', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:03.118749', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:03.254153', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:03.613415', value='1.020408', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:03.614886', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:03.661191', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:04.113329', value='1.492537', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:04.113742', value='1038872.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:04.114193', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:04.283623', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:04.613689', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:04.614419', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:04.792616', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:05.113447', value='1038872.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:05.113516', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:05.115044', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:05.324754', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:05.614338', value='4.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:05.614702', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:05.636348', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:06.112794', value='0.110000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:06.112797', value='0.100000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:06.113365', value='1038872.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:06.115281', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:06.115290', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:06.231508', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:06.613592', value='1.492537', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:06.614383', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:06.882117', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:07.113853', value='1039600.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:07.114007', value='6.842105', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:07.114498', value='47.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:07.248903', value='1606.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:07.614395', value='45.197740', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:07.614345', value='60.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:07.766854', value='2169.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:08.113699', value='1059296.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:08.114213', value='56.497175', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:08.116196', value='21.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:08.279429', value='556.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:08.613301', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:08.613840', value='57.142857', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:08.779592', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:09.113680', value='1057856.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:09.115110', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:09.115520', value='55.932203', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:09.298009', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:09.614153', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:09.616385', value='56.741573', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:09.817990', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:10.112780', value='1052372.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:10.113959', value='56.250000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:10.115964', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:10.329769', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:10.614548', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:10.614632', value='58.918919', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:10.735648', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:11.112916', value='0.160000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:11.112914', value='0.420000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:11.112970', value='56.741573', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:11.113095', value='1054420.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:11.115178', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:11.169931', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:11.613142', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:11.613143', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:11.613231', value='55.232558', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:12.113457', value='58.563536', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:12.114734', value='1050408.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:12.114738', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:12.161986', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:12.614110', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:12.614159', value='58.152174', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:12.779880', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:13.112847', value='1056148.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:13.113821', value='56.906077', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:13.115216', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:13.192816', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:13.613127', value='57.303371', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:13.615043', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:13.803132', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:14.113296', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:14.113252', value='1047724.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:14.113621', value='58.378378', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:14.311614', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:14.613457', value='58.378378', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:14.614102', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:14.830287', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:15.113694', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:15.113727', value='1055192.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:15.113753', value='58.241758', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:15.233800', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:15.613985', value='56.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:15.614004', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:15.751621', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:16.112762', value='1066104.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:16.113432', value='1.030000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:16.113964', value='56.906077', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:16.115228', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:16.257456', value='0.290000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:16.270543', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:16.613819', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:16.615010', value='57.303371', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:16.786992', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:17.113724', value='56.647399', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:17.114034', value='1053840.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:17.113981', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:17.283200', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:17.614540', value='57.377049', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:17.614672', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:17.800190', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:18.113120', value='56.250000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:18.113209', value='1058580.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:18.115110', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:18.309103', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:18.613563', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:18.613566', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:18.614744', value='58.823529', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:19.112975', value='1046636.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:19.113901', value='15.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:19.114996', value='51.366120', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:19.237918', value='155.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:19.613003', value='5.291005', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:19.614971', value='58.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:19.740724', value='2168.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:20.113155', value='18.134715', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:20.113237', value='1046344.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:20.113277', value='234.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:20.251052', value='2024.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:20.613720', value='191.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:20.613972', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:20.767185', value='6.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:21.113314', value='0.290000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:21.113311', value='0.950000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:21.113927', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:21.113974', value='1046172.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:21.114036', value='0.520833', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:21.276654', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:21.613956', value='0.520833', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:21.615389', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:21.802728', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:22.113088', value='4.615385', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:22.119375', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:22.119503', value='1046160.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:22.134104', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:22.613976', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:22.618730', value='4.060914', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:22.817890', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:23.113413', value='1046160.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:23.113866', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:23.120652', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:23.327518', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:23.613477', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:23.614635', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:23.738593', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:24.113782', value='1046160.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:24.114052', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:24.114213', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:24.248466', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:24.614958', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:24.615214', value='1.507538', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:24.650543', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:25.113389', value='1.492537', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:25.113847', value='1046152.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:25.114358', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:25.120644', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:25.613678', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:25.614187', value='3.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:25.786764', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='03.06.2023 12:21:26.112698', value='0.950000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='03.06.2023 12:21:26.112702', value='0.300000', node='ubuntu', metric='load5', subsystem=None)
