Telemetry(timestamp='28.05.2023 14:16:35.113386', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:35.431915', value='3940.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:35.612123', value='84.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:35.612319', value='4.891304', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:35.727859', value='3805.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:36.111089', value='1177548.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:36.113098', value='6.951872', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:36.113431', value='84.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:36.297829', value='3861.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:36.611097', value='5.434783', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:36.613652', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:36.751246', value='3977.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:37.111125', value='1192920.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:37.111883', value='5.978261', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:37.111965', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:37.268340', value='4020.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:37.611694', value='11.229947', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:37.612512', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:37.777426', value='4041.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:38.111503', value='0.400000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:38.111504', value='0.600000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:38.111663', value='1195220.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:38.112564', value='59.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:38.113706', value='33.149171', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:38.298364', value='2553.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:38.611851', value='46.629213', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:38.613451', value='19.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:38.799086', value='530.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:39.111632', value='1155772.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:39.111966', value='23.404255', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:39.112431', value='11.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:39.311743', value='7.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 14:16:39.613559', value='1.010101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 14:16:39.613694', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
