Telemetry(timestamp='28.05.2023 22:52:42.439864', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:42.462057', value='0.507614', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:42.233980', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:42.544531', value='1071468.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:42.544559', value='0.020000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:42.544676', value='4.081633', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:42.545714', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:42.752957', value='0.090000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:42.770822', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:43.461863', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:43.463414', value='1.515152', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:43.289860', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:43.544321', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:43.544342', value='1071468.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:43.545554', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:43.697064', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:44.448498', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:44.451126', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:44.206465', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:44.544063', value='1071468.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:44.544998', value='1.010101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:44.545477', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:44.725318', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:45.440820', value='0.507614', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:45.460681', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:45.647806', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:45.544105', value='1071460.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:45.544842', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:45.545149', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:45.574518', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:46.444461', value='1.010101', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:46.449039', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:46.254738', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:46.543749', value='1071460.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:46.544472', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:46.545903', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:46.763385', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:47.439523', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:47.450837', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:47.270297', value='5.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:47.544385', value='0.100000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:47.544466', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:47.544820', value='2.564103', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:47.545140', value='1071460.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:47.560411', value='0.100000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:47.563000', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:48.452013', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:48.453235', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:48.196496', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:48.543239', value='1071460.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:48.544947', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:48.546321', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:48.716499', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:49.434171', value='4.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:49.459822', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:49.213480', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:49.543786', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:49.543834', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:49.544598', value='1071460.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:49.576634', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:50.449664', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:50.455800', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:50.249523', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:50.543595', value='1071460.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:50.544935', value='0.507614', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:50.545165', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:50.758461', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:51.445884', value='4.188482', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:51.460875', value='26.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:51.264792', value='563.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:51.543452', value='1070328.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:51.543741', value='4.395604', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:51.544620', value='65.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:51.803134', value='2365.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='28.05.2023 22:52:52.436882', value='5.882353', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='28.05.2023 22:52:52.444067', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
