Telemetry(timestamp='27.05.2023 11:26:56.308983', value='11.111111', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:56.318686', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:56.240254', value='3578.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:56.530269', value='1010048.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:56.532292', value='5.434783', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:56.534662', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:56.565948', value='3683.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:57.304903', value='11.351351', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:57.320539', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:57.155789', value='3711.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:57.530792', value='1011920.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:57.531254', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:57.531501', value='6.806283', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:57.554057', value='3434.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:58.311578', value='5.434783', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:58.312295', value='95.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:58.173996', value='3887.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:58.530214', value='1020004.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:58.530984', value='8.947368', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:58.532250', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:58.568050', value='3737.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:59.303538', value='3.191489', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:59.317276', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:59.992724', value='3661.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:59.530052', value='1017356.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:59.530853', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:26:59.530871', value='9.729730', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:26:59.630213', value='3672.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:00.304417', value='3.703704', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:00.315325', value='90.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:00.229664', value='3654.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:00.529933', value='0.100000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:00.529938', value='0.150000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:00.531013', value='6.010929', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:00.531136', value='98.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:00.531167', value='1020100.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:00.564885', value='4121.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:27:01.318353', value='10.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:27:01.324160', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
