Telemetry(timestamp='27.05.2023 12:18:15.530307', value='21.276596', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:15.530423', value='1167308.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:15.530742', value='33.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:15.767372', value='699.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:16.308231', value='75.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:16.311841', value='2.020202', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:16.240180', value='2730.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:16.530052', value='1167532.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:16.530930', value='92.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:16.531317', value='4.102564', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:16.685682', value='4072.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:17.303655', value='6.250000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:17.318799', value='86.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:17.183029', value='3784.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:17.529685', value='1181660.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:17.530156', value='29.648241', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:17.531577', value='45.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:17.699434', value='1749.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:18.298446', value='24.870466', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:18.313274', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:18.197413', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 12:18:18.530760', value='12.565445', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 12:18:18.530768', value='44.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
