Telemetry(timestamp='25.05.2023 16:41:50.851191', value='38036.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:50.505102', value='637.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:50.505224', value='7.142857', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:50.507179', value='40697.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:51.419709', value='1123256.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:51.473923', value='582.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:51.543285', value='21.787709', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:51.927422', value='40205.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:51.504451', value='14.814815', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:51.505582', value='328.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:51.508648', value='38818.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:52.433873', value='12.021858', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:52.442660', value='1168044.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:52.450669', value='0.600000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:52.489700', value='480.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:52.629037', value='0.230000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:52.969608', value='46527.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:52.504455', value='17.647059', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:52.504472', value='517.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:52.510466', value='42204.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:41:53.443938', value='1159816.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:53.505162', value='15.384615', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:41:53.600510', value='232.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
