Telemetry(timestamp='25.05.2023 16:45:34.431094', value='1081408.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:34.448145', value='5.208333', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:34.553038', value='150.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:34.895869', value='8909.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:34.504544', value='16.129032', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:34.505774', value='389.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:34.508881', value='26021.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:35.437522', value='1085304.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:35.495697', value='490.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:35.500088', value='13.661202', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:35.941004', value='32625.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:35.504692', value='15.957447', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:35.505002', value='474.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:35.508760', value='37055.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:36.471504', value='1114612.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:36.482703', value='408.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:36.531099', value='22.282609', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:36.782804', value='40299.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:36.504903', value='17.222222', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:36.505386', value='439.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:36.509432', value='35127.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:37.424126', value='19.354839', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:37.428241', value='1080008.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:37.439953', value='0.100000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:37.538157', value='550.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:37.613544', value='0.130000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:37.987867', value='35098.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:37.504790', value='14.361702', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:37.505311', value='463.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:37.509614', value='37224.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:38.464519', value='1075488.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:38.476936', value='401.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:38.507652', value='16.756757', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:38.821058', value='38714.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:38.504730', value='18.378378', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='25.05.2023 16:45:38.505261', value='533.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='25.05.2023 16:45:38.507864', value='39982.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
