Telemetry(timestamp='22.05.2023 08:45:26.220553', value='15.343915', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:26.221160', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:26.221447', value='446.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:26.223085', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:26.227981', value='30542.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:26.721233', value='500.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:26.721236', value='1277620.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:26.721885', value='2.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:26.721890', value='20.967742', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:26.722011', value='32791.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:26.726018', value='2.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:27.220860', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:27.220997', value='502.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:27.221247', value='17.837838', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:27.221845', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:27.223238', value='31702.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:27.720510', value='1267548.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:27.721178', value='16.304348', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:27.722017', value='428.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:27.722399', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:27.725499', value='32792.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:27.726387', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:28.220469', value='20.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:28.221470', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:28.221624', value='442.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:28.223803', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:28.225495', value='33848.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:28.720867', value='12.834225', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:28.721138', value='447.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:28.721179', value='1259348.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:28.721199', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:28.723638', value='30444.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:28.724681', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:29.221121', value='18.032787', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:29.221591', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:29.221637', value='339.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:29.225652', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:29.225932', value='29257.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:29.720500', value='1267116.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:29.721268', value='15.508021', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:29.721889', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:29.721910', value='343.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:29.726188', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:29.726756', value='33500.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:30.221052', value='21.925134', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:30.222159', value='412.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:30.222616', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:30.225425', value='31856.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:30.226151', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:30.720868', value='514.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:30.720939', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:30.721269', value='14.444444', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:30.721335', value='1264532.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:30.721880', value='32280.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:30.722627', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:31.221308', value='22.043011', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:31.221442', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:31.221482', value='522.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:31.223865', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:31.224729', value='32819.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:31.720395', value='16.577540', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:31.720584', value='1255116.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:31.721329', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:31.722069', value='516.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:31.723519', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:31.727505', value='32729.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:32.220537', value='505.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:32.220757', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:32.220783', value='22.043011', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:32.222161', value='33848.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:32.224108', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:32.720124', value='1263736.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:32.720619', value='14.594595', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:32.720999', value='457.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:32.721045', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:32.725602', value='33662.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:32.726382', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:33.220411', value='22.459893', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:33.221077', value='464.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:33.221284', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:33.224327', value='33542.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:33.224570', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:33.720197', value='1265776.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:33.720432', value='17.989418', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:33.720557', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:33.720567', value='498.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:33.724041', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:33.724303', value='32817.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:34.220650', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:34.220685', value='493.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:34.220901', value='22.162162', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:34.222842', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:34.223509', value='32559.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:34.720502', value='16.847826', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:34.720652', value='508.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:34.720725', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:34.721174', value='1277308.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:34.722626', value='33410.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:34.722864', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:35.220826', value='451.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:35.220930', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:35.220979', value='21.081081', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:35.223247', value='32267.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:35.224345', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:35.720254', value='1262124.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:35.721059', value='14.285714', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='22.05.2023 08:45:35.721195', value='3.000000', node='ubuntu', metric='tx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:35.721202', value='432.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='22.05.2023 08:45:35.724037', value='3.000000', node='ubuntu', metric='rx', subsystem='lo')
Telemetry(timestamp='22.05.2023 08:45:35.724275', value='30761.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
