Telemetry(timestamp='27.05.2023 11:34:58.530752', value='20.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:58.531232', value='1085492.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:58.532113', value='30.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:58.555163', value='830.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:59.310310', value='73.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:59.313802', value='4.145078', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:59.238257', value='2823.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:59.530237', value='1087508.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:59.532552', value='5.235602', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:34:59.532614', value='88.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:34:59.689874', value='3635.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:00.301627', value='28.934010', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:00.325415', value='45.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:00.232901', value='1639.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:00.530248', value='20.105820', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:00.530249', value='1089948.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:00.530278', value='0.080000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:00.531294', value='34.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:00.715654', value='0.070000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:00.777186', value='728.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:01.305086', value='3.608247', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:01.307498', value='77.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:01.198047', value='2712.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:01.531266', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:01.532454', value='1092720.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:01.532493', value='8.205128', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:01.702768', value='3737.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:02.311506', value='29.353234', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:02.323182', value='44.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:02.235006', value='1750.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:02.530694', value='22.164948', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:02.530937', value='1085136.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:02.533126', value='28.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:02.801548', value='802.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:03.311245', value='72.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:03.311689', value='4.123711', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:03.259254', value='2851.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:03.530490', value='1089924.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:03.531496', value='9.693878', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:03.532636', value='87.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:03.679879', value='3669.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:04.304304', value='28.712871', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:04.329118', value='43.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:04.198494', value='1610.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:04.530494', value='20.312500', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:04.530527', value='1100248.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:04.531629', value='37.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:04.688258', value='868.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:05.309166', value='83.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:05.310546', value='4.761905', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:05.388712', value='2809.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:05.530484', value='0.070000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:05.530485', value='0.070000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:05.530519', value='1104532.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:05.531302', value='8.717949', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:05.532507', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:05.722918', value='3597.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:06.310363', value='30.150754', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:06.323095', value='43.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:06.872662', value='1656.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:06.531269', value='21.875000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:06.531403', value='29.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:06.531491', value='1094276.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:06.739864', value='780.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:07.314162', value='72.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:07.326698', value='2.617801', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:07.243505', value='2844.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:07.530783', value='4.123711', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:07.531258', value='1095004.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:07.532457', value='89.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:08.308287', value='29.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:08.321988', value='43.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:08.904760', value='3685.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:08.149603', value='1620.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:08.530510', value='1084968.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:08.531228', value='25.773196', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:08.533140', value='23.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:08.689346', value='569.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:09.306496', value='2.105263', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:09.312833', value='71.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:09.199378', value='2342.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:09.530357', value='2.577320', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:09.530806', value='1084968.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:09.531682', value='104.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:09.735786', value='3495.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:10.312125', value='68.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:10.312809', value='25.757576', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='27.05.2023 11:35:10.212374', value='2127.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='27.05.2023 11:35:10.530596', value='30.729167', node='ubuntu', metric='cpu', subsystem=None)
