Telemetry(timestamp='29.05.2023 20:21:42.349752', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:42.811038', value='1.492537', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:42.812511', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:42.974095', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:43.311280', value='2.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:43.311523', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:43.312467', value='985996.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:43.446654', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:43.811994', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:43.811994', value='3.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:43.972724', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:44.310474', value='0.010000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:44.310877', value='983908.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:44.311516', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:44.313066', value='8.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:44.467832', value='0.060000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:44.503199', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:44.810686', value='5.208333', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 20:21:44.813102', value='38.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:45.297326', value='1271.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 20:21:45.310846', value='6.382979', node='ubuntu', metric='cpu', subsystem=None)
