Telemetry(timestamp='29.05.2023 22:11:55.812371', value='1.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:55.812249', value='1027932.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:55.814560', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:56.151015', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:56.312328', value='1.500000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:56.313141', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:56.322252', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:56.812617', value='3.045685', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:56.813287', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:56.813455', value='1027932.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:56.927392', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:57.313330', value='4.568528', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:57.313662', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:57.441129', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:57.812374', value='1027932.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:57.812754', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:57.815001', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:57.821480', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:58.312818', value='1.005025', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:58.315052', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:58.384189', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:58.812632', value='0.140000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:58.812699', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:58.812897', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:58.813386', value='1027932.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:58.973229', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:58.972867', value='0.210000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:59.312651', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:59.313548', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:59.492170', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:59.813389', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:59.815341', value='1028180.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:11:59.814934', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:11:59.998973', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:00.313530', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:00.316134', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:00.381888', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:00.812920', value='1028172.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:00.813056', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:00.814822', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:00.991219', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:01.314183', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:01.314184', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:01.398969', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:01.811952', value='1028172.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:01.812458', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:01.814247', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:01.817157', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:02.313048', value='4.568528', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:02.313039', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:02.467435', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:02.812294', value='1028172.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:02.812655', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:02.813289', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:02.822012', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:03.312544', value='0.502513', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:03.314153', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:03.482341', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:03.812432', value='0.130000', node='ubuntu', metric='load1', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:03.812436', value='0.210000', node='ubuntu', metric='load5', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:03.812538', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:03.813107', value='1028172.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:03.813336', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:03.992670', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:04.312841', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:04.314339', value='0.505051', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:04.402384', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:04.813006', value='1028172.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:04.812585', value='0.000000', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:04.814986', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:05.634914', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:05.313068', value='1.507538', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:05.313465', value='9.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:05.411409', value='3.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:05.811903', value='1044300.000000', node='ubuntu', metric='ram', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:05.813899', value='4.102564', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:05.814061', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:05.821090', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:06.312935', value='46.153846', node='ubuntu', metric='cpu', subsystem=None)
Telemetry(timestamp='29.05.2023 22:12:06.314252', value='10.000000', node='ubuntu', metric='tx', subsystem='enp0s25')
Telemetry(timestamp='29.05.2023 22:12:06.319549', value='4.000000', node='ubuntu', metric='rx', subsystem='enp0s25')
